dataset,seed,method,eps,attack_success_rate,attacked_accuracy,median_min_flip_linf,reachable_fraction
iris,27,cart_tuned_depth,0.05,0.0,0.9433962264150944,0.5459976273767405,1.0
iris,27,mags_binary_excluded,0.05,0.0566037735849056,0.9622641509433962,0.4885241701539391,1.0
iris,27,mags_fixed,0.05,0.0566037735849056,0.9622641509433962,0.4885241701539391,1.0
iris,27,mags_tuned,0.05,0.0,0.9433962264150944,0.5459976018191086,1.0
iris,27,matched_gini,0.05,0.0566037735849056,0.9622641509433962,0.4885241701539391,1.0
iris,27,noise_augmented_cart,0.05,0.0566037735849056,0.9056603773584906,0.5646505433313304,1.0
iris,28,cart_fixed,0.05,0.0,0.981132075471698,0.4526755113679817,1.0
iris,28,cart_pruned,0.05,0.0,0.981132075471698,0.4526755113679817,1.0
iris,28,cart_tuned_depth,0.05,0.0,0.9433962264150944,0.4526755277809908,1.0
iris,28,mags_binary_excluded,0.05,0.0377358490566037,0.981132075471698,0.4526378286404601,1.0
iris,28,mags_fixed,0.05,0.0377358490566037,0.981132075471698,0.4526378286404601,1.0
iris,28,mags_tuned,0.05,0.0,0.9433962264150944,0.4526755200744863,1.0
iris,28,matched_gini,0.05,0.0377358490566037,0.981132075471698,0.4243479644129315,1.0
iris,28,noise_augmented_cart,0.05,0.0377358490566037,0.981132075471698,0.4490528252536098,1.0
iris,29,cart_fixed,0.05,0.0,0.9433962264150944,0.5199848387422917,1.0
iris,29,cart_pruned,0.05,0.0,0.9433962264150944,0.5199848387422917,1.0
iris,29,cart_tuned_depth,0.05,0.0,0.9433962264150944,0.4549867594245104,1.0
iris,29,mags_binary_excluded,0.05,0.0,0.9433962264150944,0.4549867466636725,1.0
iris,29,mags_fixed,0.05,0.0,0.9433962264150944,0.4549867466636725,1.0
iris,29,mags_tuned,0.05,0.0,0.9433962264150944,0.4549867456636725,1.0
iris,29,matched_gini,0.05,0.0,0.9433962264150944,0.4549867466636725,1.0
iris,29,noise_augmented_cart,0.05,0.0188679245283018,0.9433962264150944,0.5061552635116946,1.0
mfeat_morphological,0,cart_fixed,0.05,0.0542857142857142,0.69,0.3572053395299688,1.0
mfeat_morphological,0,cart_pruned,0.05,0.0857142857142857,0.7014285714285714,0.2487416309280933,1.0
mfeat_morphological,0,cart_tuned_depth,0.05,0.1357142857142857,0.7142857142857143,0.1748640241211935,1.0
